ticker,market_cap,universe_rank
CSHR,554794680,2798
CNCK,554296142,2799
OLP,554213979,2800
EGY,553611323,2801
PKOH,553177653,2802
TASK,552674467,2803
MNRO,551351109,2804
ALT,551334227,2805
VKQ,550593908,2806
YEXT,550362157,2807
GEMI,549926591,2808
EBF,548087063,2809
SCZM,546620031,2810
MEI,546265812,2811
RYAM,546252247,2812
XMAX,546025969,2813
LAES,543590835,2814
TOI,543407241,2815
PSFE,542522783,2816
EVGO,541407405,2817
ALTI,541275689,2818
NRGV,540977211,2819
CTRN,540690434,2820
FEIM,540321792,2821
IQI,539414729,2822
AHRT,537764204,2823
KELYA,535812331,2824
BBCP,535682055,2825
ITIC,533113431,2826
SLDP,531029008,2827
MLAB,530365751,2828
KIDS,529624576,2829
STTK,529478970,2830
SATL,529231426,2831
SFIX,528366390,2832
CTEV,528310981,2833
CLNE,527437998,2834
CLB,526424108,2835
MSIF,525097752,2836
SPT,525021874,2837
CTNM,523596210,2838
TYG,522442151,2839
ORN,522182686,2840
EIKN,521896374,2841
TATT,520948372,2842
ARVN,520040856,2843
COFS,519633715,2844
NKLR,519354268,2845
VCV,517217670,2846
BTBT,516801822,2847
OBT,515936146,2848
DNA,515724210,2849
ADV,514394383,2850
CPS,512772602,2851
WNC,512532658,2852
ESEA,509716843,2853
HQL,507976584,2854
TLRY,507455923,2855
OIS,507129521,2856
TRC,506599430,2857
SD,505780148,2858
ETO,505739577,2859
XRN,505173461,2860
YORW,504758816,2861
ASPI,504243305,2862
AIAI,504151308,2863
NRC,504033206,2864
GUT,502049358,2865
NGS,501603902,2866
IMSR,501603428,2867
LOCO,501598758,2868
AQST,501240617,2869
BSVN,500812214,2870
MAGN,500305000,2871
WTI,498405288,2872
PDLB,497303245,2873
TWI,496629671,2874
LWAY,493604982,2875
ZURA,493513103,2876
MG,493476722,2877
ACIC,493363998,2878
SPIR,492279018,2879
GDYN,492139328,2880
VSTM,490774274,2881
JOUT,489901345,2882
SLN,488124000,2883
FVR,488037943,2884
BWFG,485247735,2885
PAYS,484703052,2886
KREF,484503642,2887
FIP,483879758,2888
CMDB,480949588,2889
AMCX,480569169,2890
CLMB,479993732,2891
DCBO,478575336,2892
OFIX,476975494,2893
MTW,476879276,2894
PROK,475743911,2895
BXC,475698894,2896
SGMT,474871396,2897
PANL,473931117,2898
RBB,473527428,2899
BMRC,471606165,2900
VMD,471542665,2901
IBEX,471430774,2902
WTBA,471422976,2903
REAX,470759342,2904
SI,470550348,2905
CWCO,469365574,2906
ELVA,469330910,2907
FRPH,468904927,2908
BTQ,468585974,2909
GOGO,467249097,2910
CBK,467076260,2911
OCGN,462082333,2912
IPI,461209652,2913
DIN,460598704,2914
BWMN,460015711,2915
GBFH,459288972,2916
CLPT,459140210,2917
FRBA,458954199,2918
VREX,458894210,2919
PACB,458137490,2920
FCBM,457188168,2921
ETB,455844097,2922
SRTA,455562391,2923
BLW,455318476,2924
GLAD,454572548,2925
QUAD,453208207,2926
OVID,451669047,2927
ECX,451556081,2928
NEWT,450413029,2929
CBAN,450066160,2930
ADUR,449354856,2931
MATV,449207038,2932
STRZ,449107863,2933
ERII,448959206,2934
KYTX,447452760,2935
BBW,446082222,2936
DCTH,442222298,2937
FSTR,440101254,2938
BOC,439951769,2939
EVN,439512166,2940
PBFS,439094786,2941
GRVY,437641722,2942
CDRO,436511184,2943
TITN,436449831,2944
BNTC,436128270,2945
PRTA,436102464,2946
RMNI,435957600,2947
FMAO,434386331,2948
CINT,434358468,2949
HNST,433720751,2950
PCB,432308538,2951
PLBC,432024432,2952
FWRD,431998128,2953
EVMN,431500097,2954
BNED,430617114,2955
PBYI,430609398,2956
ACTG,430304583,2957
HELP,430169501,2958
FPI,429847516,2959
OPTU,429250607,2960
FVRR,428730407,2961
SGU,428482826,2962
CCRN,428246095,2963
CZNC,427668908,2964
BETR,427590189,2965
ELMT,427362947,2966
CABA,427203566,2967
OPAL,426406058,2968
HVT,425158749,2969
CBIO,424883518,2970
WILC,424874455,2971
BBBY,423542944,2972
USNA,423172212,2973
NVEC,422091105,2974
CMCO,421385511,2975
BLND,421282981,2976
CRNC,420020685,2977
CLFD,419778419,2978
SOPH,417819930,2979
ASPN,417287976,2980
DDT,416874309,2981
AVBC,416782950,2982
RZLT,416464332,2983
CAL,415841031,2984
IMXI,415755407,2985
GTN,415063358,2986
ISTR,414704133,2987
ASMB,414558680,2988
DDD,413655954,2989
CCAP,413028384,2990
SHOE,412428369,2991
LSAK,411824611,2992
SERV,411239068,2993
NATH,411057790,2994
GCO,409180885,2995
AIBZ,408966507,2996
MCFT,408299641,2997
ALLT,407529415,2998
BRCB,407454269,2999
MOBI,405637873,3000
FRST,405023950,3001
NUAI,404657257,3002
BMBL,402954050,3003
ALTO,402535370,3004
CGC,402125177,3005
MFI,401411880,3006
PKBK,400846562,3007
EPRX,400454185,3008
ARQQ,400385523,3009
KMDA,399758599,3010
STRO,399347580,3011
AIV,399200908,3012
SWMR,399085114,3013
EBS,398065424,3014
LEO,397727103,3015
RM,395581909,3016
VHI,395524545,3017
FLXS,395345298,3018
MGPI,394726747,3019
CCCC,394172146,3020
IPSC,394075258,3021
ULH,393567638,3022
TENX,392572353,3023
FNLC,392396378,3024
GEVO,391892240,3025
MOVE,391706676,3026
ABEO,391271664,3027
ABTC,391188859,3028
LAND,388013474,3029
EH,387271338,3030
UPB,386381901,3031
TCI,386350212,3032
ASTL,386249289,3033
MVBF,384469038,3034
CURR,384004047,3035
GBLI,383489584,3036
PERI,383077307,3037
ACCO,382869845,3038
SOR,382511101,3039
LND,381982412,3040
AUNA,381906899,3041
QMCO,381145160,3042
TACO,380821324,3043
CVEO,380498402,3044
USCB,380437037,3045
FTW,380218832,3046
DMAC,380146999,3047
BCML,379862418,3048
ENTA,379327467,3049
RCKT,378901615,3050
UROY,378657281,3051
VALU,378211819,3052
GNE,377044850,3053
WEYS,376140691,3054
AVIR,376127365,3055
NATR,375964542,3056
CMPX,375483303,3057
NC,375145348,3058
LDI,374984528,3059
RBBN,374947232,3060
RNGR,374245562,3061
NOA,374181590,3062
CHMG,373728843,3063
EOLS,373725712,3064
PLAY,372934800,3065
AKBA,372878958,3066
ATNI,372524260,3067
LPRO,371201637,3068
LRMR,370862085,3069
RPAY,369004716,3070
SLP,368799921,3071
OEC,367653991,3072
AII,366544186,3073
XPER,364449493,3074
LE,364279274,3075
FENC,363025910,3076
KTF,363013620,3077
RR,362225476,3078
NCMI,361054113,3079
CZFS,360370200,3080
AVBH,359110374,3081
LXEO,358843867,3082
WSBF,358173147,3083
SUJA,358053861,3084
XRX,356365289,3085
TLS,355765177,3086
XFOR,355585254,3087
UXIN,354168220,3088
PTLO,352874621,3089
BKKT,352740763,3090
ARTNA,352063336,3091
TSBK,351083692,3092
PINE,349828090,3093
NPWR,349504414,3094
MRLN,348451828,3095
NWFL,348066740,3096
ONIT,347783491,3097
MCI,344651840,3098
STRT,343768900,3099
ZIP,343617548,3100
CUB,343418307,3101
MRAM,342334624,3102
SEG,342195054,3103
MTRX,342107616,3104
PPT,341879583,3105
LAB,339776411,3106
CEPL,338745004,3107
SNDL,338390000,3108
XPOF,337832250,3109
PALI,337612458,3110
TMCR,337213102,3111
HLLY,335846848,3112
ORGO,335840570,3113
INDP,335770656,3114
BUUU,335667750,3115
HBB,334579531,3116
MLP,334122673,3117
LYEL,333504312,3118
PRLD,333315610,3119
SUPX,333199485,3120
NODK,332372760,3121
VNDA,331046269,3122
FSBW,330469211,3123
COSO,330375326,3124
RFMZ,329844535,3125
MYFW,329739048,3126
SBC,329110218,3127
GASS,328178553,3128
PSNYW,327813746,3129
FVCB,327721582,3130
CARL,327306593,3131
ABAT,326044079,3132
ISSC,325826923,3133
TWIN,325667434,3134
FATE,324617333,3135
MBI,323940488,3136
CV,323764037,3137
ZNTL,323541952,3138
SHIP,323506196,3139
JMSB,323452151,3140
HRZN,321851138,3141
MSB,321571445,3142
MKTW,321198888,3143
CMTG,321100970,3144
CION,320891458,3145
FINS,320801766,3146
FNKO,320763482,3147
PMM,318751811,3148
NREF,317865581,3149
IMRX,317017270,3150
ZUMZ,316860198,3151
OFLX,316406523,3152
RCKY,315983110,3153
GBAB,315348422,3154
VELO,314400571,3155
SAR,313489751,3156
PAMT,312891961,3157
PESI,312752392,3158
EFT,311849249,3159
BGS,311681284,3160
BYND,311472942,3161
FWDI,311414345,3162
FDBC,310577130,3163
DVLT,308686768,3164
MVST,307304371,3165
ALCO,306864621,3166
GRRR,305609789,3167
PRE,304810772,3168
INV,303821764,3169
PNRG,303366910,3170
JACK,303270494,3171
OPTX,302501884,3172
NMRA,299234054,3173
OSS,299209725,3174
ISBA,298435233,3175
ESOA,298181670,3176
WNEB,297349874,3177
DBI,297299798,3178
OABI,297193787,3179
AMRN,296714989,3180
ELDN,296401240,3181
NXDT,295860010,3182
NEGG,295725264,3183
AENT,295681854,3184
SVCO,295177670,3185
RMMZ,294515250,3186
NL,294500584,3187
BRCC,294412706,3188
FUND,293520382,3189
ARL,293482621,3190
AIRS,293470033,3191
VRXA,293421212,3192
FHTX,292982471,3193
VOXR,292487912,3194
RMM,292037926,3195
ACH,291783905,3196
TMCI,291279662,3197
OVLY,289675359,3198
SGHT,288372693,3199
